code,mets,major_heading_ja,activity_ja,major_heading_en,activity_en
05090,2,家での活動,い、立位を含む、楽な労力,,"(home activities) (laundry, fold or hang clothes, put clothes in washer or dryer, packing suitcase, washing clothes by hand,"
05092,4,家での活動,洗濯：洗濯物を干す、衣類の手洗い、ほどほどの労力,home activities,"laundry, hanging wash, washing clothes by hand, moderate effort"
05095,2.3,家での活動,洗濯：衣類を片づける、リュックサックに衣類を詰める、洗濯ものを片づける、歩行を伴う,home activities,"laundry, putting away clothes, gathering clothes to pack, putting away laundry, implied walking"
05100,3.3,家での活動,ベッドメイク：リネンを交換する,home activities,"making bed, changing linens"
05110,5,家での活動,メープルシロップづくり(バケツや木材の運搬も含む),home activities,"maple syruping/sugar bushing (including carrying buckets, carrying wood)"
05120,5.8,家での活動,家具や家財道具の移動、収納箱の運搬,home activities,"moving furniture, household items, carrying boxes"
05121,5,家での活動,引越し：軽い荷物を持ち上げる,home activities,"moving, lifting light loads"
05125,4.8,家での活動,部屋の片づけ,home activities,organizing room
05130,3.5,家での活動,床磨き：手や膝をついて、浴室や浴槽磨き、ほどほどの労力,home activities,"scrubbing floors, on hands and knees, scrubbing bathroom, bathtub, moderate effort"
05131,2,家での活動,床磨き：手や膝をついて、浴室や浴槽磨き、楽な労力,home activities,"scrubbing floors, on hands and knees, scrubbing bathroom, bathtub, light effort"
05132,6.5,家での活動,床磨き：手や膝をついて、浴室や浴槽磨き、きつい労力,home activities,"scrubbing floors, on hands and knees, scrubbing bathroom, bathtub, vigorous effort"
05140,4,家での活動,ガレージの掃除、歩道や家の周りの掃除,home activities,"sweeping garage, sidewalk or outside of house"
05146,3.5,家での活動,おろす、ほどほどの労力,,"(home activities) (standing, packing/unpacking boxes, occasional lifting of lightweight household items, loading or"
05147,3,家での活動,歩行を含む家財道具の片付け：ほどほどの労力,home activities,"implied walking, putting away household items, moderate effort"
05148,2.5,家での活動,植物への水やり,home activities,watering plants
